Samples    E_ads_eV    bulk_nnd_Ang    site_nnd_Ang    r_d_Ang    V_ad^2    CN    site_no    epsilon_d_eV    W_d_eV    S_d_eV    K_d_eV    W_eV    IP_eV    EA_eV    f_d    f_sp    PE    DOS_d_eV^(-1)    DOS_sp_eV^(-1)  
OH_Pd_211_top-t   0.821   2.819   2.809   0.94   2.78   9.0   1   -1.635   1.372   0.587   4.769   5.21   8.337   0.562   9.286   0.773   2.2   2.325   0.125   
OH_Pt_211_bridge2-s   0.164   2.838   2.781   1.04   3.9   7.0   2   -1.895   1.891   0.786   5.804   5.75   8.959   2.125   8.812   1.101   2.28   1.72   0.176   
OH_AgPd_211_bridge1-s-4   0.598   2.819   2.853   0.94   2.78   8.0   2   -1.31   1.332   0.973   10.497   5.21   8.337   0.562   9.439   0.772   2.2   0.55   0.169   
OH_Ag_211_top-s   0.896   2.985   2.946   0.89   2.26   7.0   1   -4.008   0.934   2.824   21.923   4.427   7.576   1.304   9.865   1.051   1.93   0.031   0.29   
OH_Ag@Cu_211_bridge1-t-3   0.385   2.603   2.585   0.67   1.0   9.5   2   -2.442   1.122   1.956   15.051   4.719   7.726   1.236   9.742   1.261   1.9   0.106   0.233   
OH_Rh_100_bridge   -0.116   2.734   2.71   0.99   3.32   8.0   2   -1.413   2.024   1.234   7.427   5.266   7.459   1.143   7.942   1.054   2.28   1.839   0.184   
OH_Ru_211_hcp-t   0.065   2.732   2.706   1.05   3.87   9.333   3   -1.359   2.154   0.396   3.257   4.889   7.361   1.046   7.068   0.917   2.2   1.328   0.137   
OH_AgPd_211_top-s-1   1.217   2.985   2.892   0.89   2.26   7.0   1   -3.456   0.976   2.784   16.251   4.427   7.576   1.304   9.873   0.865   1.93   0.037   0.2   
OH_Ag@Cu_211_bridge1-s-2   0.11   2.603   2.578   0.67   1.0   8.0   2   -2.358   0.999   1.243   12.338   4.719   7.726   1.236   9.758   1.211   1.9   0.096   0.271   
OH_Rh_110_shortbridge   -0.12   2.734   2.684   0.99   3.32   7.0   2   -1.362   2.148   1.94   11.854   4.831   7.459   1.143   7.945   0.99   2.28   2.167   0.179   
OH_PtRh_211_top-t-2   0.526   2.734   2.753   0.99   3.32   9.0   1   -1.411   2.286   1.514   9.511   5.078   7.459   1.143   7.933   1.214   2.28   2.515   0.14   
