Samples    E_ads_eV    bulk_nnd_Ang    site_nnd_Ang    r_d_Ang    V_ad^2    CN    site_no    epsilon_d_eV    W_d_eV    S_d_eV    K_d_eV    W_eV    IP_eV    EA_eV    f_d    f_sp    PE    DOS_d_eV^(-1)    DOS_sp_eV^(-1)  
CO_PtRh_211_bridge2-t-1   1.082   2.786   2.761   1.015   3.61   9.0   2   -1.809   2.22   1.459   8.591   5.414   8.209   1.634   8.33   1.166   2.28   2.02   0.134   
CO_Ni_211_four-fold-s   1.092   2.502   2.484   0.71   1.16   8.5   4   -1.225   1.768   2.678   17.369   4.945   7.64   1.157   8.817   1.232   1.91   1.796   0.169   
CO_Ag_211_top-t   2.428   2.985   2.972   0.89   2.26   9.0   1   -4.033   1.122   3.418   25.417   4.427   7.576   1.304   9.837   1.148   1.93   0.04   0.281   
CO_PtRh_211_bridge1-t-3   1.348   2.838   2.783   1.04   3.9   9.5   2   -2.243   2.176   1.426   7.656   5.75   8.959   2.125   8.707   1.13   2.28   1.436   0.109   
CO_Pd@Ir_211_top-t-2   0.766   2.753   2.708   1.08   4.45   9.0   1   -1.986   2.793   0.887   5.248   5.489   9.121   1.564   7.656   1.296   2.2   1.307   0.12   
CO_PtRh_211_fcc-s-2   0.98   2.769   2.75   1.007   3.513   8.333   3   -1.619   2.166   1.432   8.879   5.302   7.959   1.47   8.23   1.143   2.28   2.133   0.16   
CO_Ni_211_fcc-s   0.879   2.502   2.476   0.71   1.16   8.333   3   -1.236   1.755   2.642   17.151   4.945   7.64   1.157   8.821   1.231   1.91   1.903   0.169   
CO_AgPd_211_top-s-1   2.251   2.985   2.892   0.89   2.26   7.0   1   -3.456   0.976   2.784   16.251   4.427   7.576   1.304   9.873   0.865   1.93   0.037   0.2   
CO_Pt_211_bridge3-s   1.058   2.838   2.817   1.04   3.9   8.5   2   -1.996   1.985   0.83   5.643   5.75   8.959   2.125   8.807   1.164   2.28   1.596   0.135   
CO_Ag_110_top   2.335   2.985   2.95   0.89   2.26   7.0   1   -3.981   0.882   2.264   17.492   4.398   7.576   1.304   9.901   1.034   1.93   0.035   0.327   
CO_Rh_211_bridge3-s   0.879   2.734   2.714   0.99   3.32   8.5   2   -1.395   2.275   1.931   11.244   5.078   7.459   1.143   7.907   1.066   2.28   1.921   0.173   
CO_Pd@Ir_211_hcp-s-1   0.934   2.775   2.736   1.033   3.893   7.667   3   -1.923   2.212   0.653   5.202   5.396   8.86   1.23   8.232   1.109   2.2   1.243   0.192   
CO_Pt@Rh_211_hcp-s-1   0.942   2.769   2.714   1.007   3.513   7.667   3   -1.601   2.09   1.581   9.254   5.302   7.959   1.47   8.201   1.045   2.28   1.719   0.194   
CO_Ru_211_bridge2-s   0.665   2.732   2.683   1.05   3.87   7.0   2   -1.158   1.939   0.39   3.925   4.889   7.361   1.046   7.152   0.809   2.2   1.745   0.269   
CO_Pt@Rh_211_bridge2-s-2   0.71   2.734   2.696   0.99   3.32   7.0   2   -1.293   2.108   1.809   11.161   5.078   7.459   1.143   7.953   1.01   2.28   2.157   0.231   
CO_AgAu_211_bridge1-t-1   2.799   2.99   2.968   1.01   3.35   9.5   2   -3.404   1.398   1.966   12.688   5.28   9.226   2.309   9.705   1.353   2.54   0.085   0.263   
